region_id,region_name,state_name,cbsa_code,cbsa_title,match_score,match_method,needs_review
394866,"Minot, ND",ND,33500,"Minot, ND",100,city+state_fuzzy,False
394674,"Heber, UT",UT,25720,"Heber, UT",100,city+state_fuzzy,False
395088,"Shawnee, OK",OK,43060,"Shawnee, OK",100,city+state_fuzzy,False
395105,"Somerset, KY",KY,43700,"Somerset, KY",100,city+state_fuzzy,False
394496,"Coos Bay, OR",OR,18300,"Coos Bay-North Bend, OR",100,city+state_fuzzy,False
395063,"Sanford, NC",NC,41820,"Sanford, NC",100,city+state_fuzzy,False
395071,"Sayre, PA",PA,42380,"Sayre, PA",100,city+state_fuzzy,False
753877,"Cullowhee, NC",NC,,,44,unmatched,True
394985,"Platteville, WI",WI,38420,"Platteville, WI",100,city+state_fuzzy,False
394954,"Pahrump, NV",NV,37220,"Pahrump, NV",100,city+state_fuzzy,False
394391,"Blackfoot, ID",ID,13940,"Blackfoot, ID",100,city+state_fuzzy,False
394398,"Bogalusa, LA",LA,14220,"Bogalusa, LA",100,city+state_fuzzy,False
394650,"Greenville, MS",MS,24740,"Greenville, MS",100,city+state_fuzzy,False
394833,"Marshalltown, IA",IA,32260,"Marshalltown, IA",100,city+state_fuzzy,False
394801,"Logansport, IN",IN,30900,"Logansport, IN",100,city+state_fuzzy,False
394904,"Natchitoches, LA",LA,35060,"Natchitoches, LA",100,city+state_fuzzy,False
394774,"Las Vegas, NM",NM,29780,"Las Vegas, NM",100,city+state_fuzzy,False
394642,"Grants, NM",NM,,,46,unmatched,True
394322,"Altus, OK",OK,11060,"Altus, OK",100,city+state_fuzzy,False
394505,"Corvallis, OR",OR,18700,"Corvallis, OR",100,city+state_fuzzy,False
753887,"Hermiston, OR",OR,25840,"Hermiston-Pendleton, OR",100,city+state_fuzzy,False
394859,"Midland, MI",MI,33220,"Midland, MI",100,city+state_fuzzy,False
394675,"Helena, MT",MT,25740,"Helena, MT",100,city+state_fuzzy,False
394955,"Palatka, FL",FL,37260,"Palatka, FL",100,city+state_fuzzy,False
394472,"Clearlake, CA",CA,17340,"Clearlake, CA",100,city+state_fuzzy,False
394826,"Marion, IN",IN,31980,"Marion, IN",100,city+state_fuzzy,False
394600,"Forest City, NC",NC,22580,"Forest City, NC",100,city+state_fuzzy,False
394759,"Laconia, NH",NH,29060,"Laconia, NH",100,city+state_fuzzy,False
394956,"Palestine, TX",TX,37300,"Palestine, TX",100,city+state_fuzzy,False
394556,"Edwards, CO",CO,20780,"Edwards, CO",100,city+state_fuzzy,False
394750,"Kinston, NC",NC,28820,"Kinston, NC",100,city+state_fuzzy,False
394402,"Boone, NC",NC,14380,"Boone, NC",100,city+state_fuzzy,False
394571,"Enterprise, AL",AL,21460,"Enterprise, AL",100,city+state_fuzzy,False
394886,"Mount Pleasant, TX",TX,34420,"Mount Pleasant, TX",100,city+state_fuzzy,False
394354,"Austin, MN",MN,12380,"Austin, MN",100,city+state_fuzzy,False
395083,"Selma, AL",AL,42820,"Selma, AL",100,city+state_fuzzy,False
394507,"Crawfordsville, IN",IN,18820,"Crawfordsville, IN",100,city+state_fuzzy,False
394894,"Murray, KY",KY,34660,"Murray, KY",100,city+state_fuzzy,False
395069,"Sault Ste. Marie, MI",MI,42300,"Sault Ste. Marie, MI",100,city+state_fuzzy,False
394573,"Escanaba, MI",MI,21540,"Escanaba, MI",100,city+state_fuzzy,False
394915,"Newport, TN",TN,35460,"Newport, TN",100,city+state_fuzzy,False
394525,"Decatur, IN",IN,19540,"Decatur, IN",100,city+state_fuzzy,False
395191,"Vidalia, GA",GA,47080,"Vidalia, GA",100,city+state_fuzzy,False
394786,"Lewisburg, TN",TN,30280,"Lewisburg, TN",100,city+state_fuzzy,False
395207,"Washington, IN",IN,47780,"Washington, IN",100,city+state_fuzzy,False
395141,"Susanville, CA",CA,45000,"Susanville, CA",100,city+state_fuzzy,False
394433,"Cambridge, MD",MD,15700,"Cambridge, MD",100,city+state_fuzzy,False
394673,"Hays, KS",KS,25700,"Hays, KS",100,city+state_fuzzy,False
395185,"Van Wert, OH",OH,46780,"Van Wert, OH",100,city+state_fuzzy,False
