cbsa_code,cbsa_title,cbsa_type,primary_state,state_list
26220,"Hood River, OR",micro,OR,OR
26300,"Hot Springs, AR",metro,AR,AR
26340,"Houghton, MI",micro,MI,MI
26380,"Houma-Bayou Cane-Thibodaux, LA",metro,LA,LA
26420,"Houston-Pasadena-The Woodlands, TX",metro,TX,TX
26460,"Hudson, NY",micro,NY,NY
26500,"Huntingdon, PA",micro,PA,PA
26540,"Huntington, IN",micro,IN,IN
26580,"Huntington-Ashland, WV-KY-OH",metro,WV,WV-KY-OH
26620,"Huntsville, AL",metro,AL,AL
26660,"Huntsville, TX",micro,TX,TX
26700,"Huron, SD",micro,SD,SD
26740,"Hutchinson, KS",micro,KS,KS
26780,"Hutchinson, MN",micro,MN,MN
26820,"Idaho Falls, ID",metro,ID,ID
26860,"Indiana, PA",micro,PA,PA
26900,"Indianapolis-Carmel-Greenwood, IN",metro,IN,IN
26980,"Iowa City, IA",metro,IA,IA
27020,"Iron Mountain, MI-WI",micro,MI,MI-WI
27060,"Ithaca, NY",metro,NY,NY
27100,"Jackson, MI",metro,MI,MI
27140,"Jackson, MS",metro,MS,MS
27180,"Jackson, TN",metro,TN,TN
27220,"Jackson, WY-ID",micro,WY,WY-ID
27260,"Jacksonville, FL",metro,FL,FL
27300,"Jacksonville, IL",micro,IL,IL
27340,"Jacksonville, NC",metro,NC,NC
27380,"Jacksonville, TX",micro,TX,TX
27420,"Jamestown, ND",micro,ND,ND
27460,"Jamestown-Dunkirk, NY",micro,NY,NY
27500,"Janesville-Beloit, WI",metro,WI,WI
27540,"Jasper, IN",micro,IN,IN
27600,"Jefferson, GA",micro,GA,GA
27620,"Jefferson City, MO",metro,MO,MO
27700,"Jesup, GA",micro,GA,GA
27740,"Johnson City, TN",metro,TN,TN
27780,"Johnstown, PA",metro,PA,PA
27860,"Jonesboro, AR",metro,AR,AR
27900,"Joplin, MO-KS",metro,MO,MO-KS
27940,"Juneau, AK",micro,AK,AK
27980,"Kahului-Wailuku, HI",metro,HI,HI
28020,"Kalamazoo-Portage, MI",metro,MI,MI
28060,"Kalispell, MT",micro,MT,MT
28100,"Kankakee, IL",metro,IL,IL
28140,"Kansas City, MO-KS",metro,MO,MO-KS
28180,"Kapaa, HI",micro,HI,HI
28260,"Kearney, NE",micro,NE,NE
28300,"Keene, NH",micro,NH,NH
28340,"Kendallville, IN",micro,IN,IN
28380,"Kennett, MO",micro,MO,MO
28420,"Kennewick-Richland, WA",metro,WA,WA
28450,"Kenosha, WI",metro,WI,WI
28500,"Kerrville, TX",micro,TX,TX
28540,"Ketchikan, AK",micro,AK,AK
28580,"Key West-Key Largo, FL",micro,FL,FL
28620,"Kill Devil Hills, NC",micro,NC,NC
28660,"Killeen-Temple, TX",metro,TX,TX
28680,"Kingsland, GA",micro,GA,GA
28700,"Kingsport-Bristol, TN-VA",metro,TN,TN-VA
28740,"Kingston, NY",metro,NY,NY
28780,"Kingsville, TX",micro,TX,TX
28820,"Kinston, NC",micro,NC,NC
28860,"Kirksville, MO",micro,MO,MO
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",metro,NY,NY
28900,"Klamath Falls, OR",micro,OR,OR
28940,"Knoxville, TN",metro,TN,TN
29020,"Kokomo, IN",metro,IN,IN
29060,"Laconia, NH",micro,NH,NH
29100,"La Crosse-Onalaska, WI-MN",metro,WI,WI-MN
29180,"Lafayette, LA",metro,LA,LA
29200,"Lafayette-West Lafayette, IN",metro,IN,IN
29260,"La Grande, OR",micro,OR,OR
29300,"LaGrange, GA-AL",micro,GA,GA-AL
29340,"Lake Charles, LA",metro,LA,LA
29380,"Lake City, FL",micro,FL,FL
29420,"Lake Havasu City-Kingman, AZ",metro,AZ,AZ
29460,"Lakeland-Winter Haven, FL",metro,FL,FL
29470,"Lake of the Woods, VA",micro,VA,VA
29540,"Lancaster, PA",metro,PA,PA
29620,"Lansing-East Lansing, MI",metro,MI,MI
29660,"Laramie, WY",micro,WY,WY
29700,"Laredo, TX",metro,TX,TX
29720,"Lares, PR",micro,PR,PR
29740,"Las Cruces, NM",metro,NM,NM
29780,"Las Vegas, NM",micro,NM,NM
29820,"Las Vegas-Henderson-North Las Vegas, NV",metro,NV,NV
29860,"Laurel, MS",micro,MS,MS
29900,"Laurinburg, NC",micro,NC,NC
29940,"Lawrence, KS",metro,KS,KS
29980,"Lawrenceburg, TN",micro,TN,TN
30020,"Lawton, OK",metro,OK,OK
30060,"Lebanon, MO",micro,MO,MO
30140,"Lebanon, PA",metro,PA,PA
30150,"Lebanon-Claremont, NH-VT",micro,NH,NH-VT
30180,"Le Mars, IA",micro,IA,IA
30260,"Lewisburg, PA",micro,PA,PA
30280,"Lewisburg, TN",micro,TN,TN
30300,"Lewiston, ID-WA",metro,ID,ID-WA
30340,"Lewiston-Auburn, ME",metro,ME,ME
30380,"Lewistown, PA",micro,PA,PA
30420,"Lexington, NE",micro,NE,NE
30460,"Lexington-Fayette, KY",metro,KY,KY
30500,"Lexington Park, MD",metro,MD,MD
30580,"Liberal, KS",micro,KS,KS
30620,"Lima, OH",metro,OH,OH
30660,"Lincoln, IL",micro,IL,IL
30700,"Lincoln, NE",metro,NE,NE
30780,"Little Rock-North Little Rock-Conway, AR",metro,AR,AR
30820,"Lock Haven, PA",micro,PA,PA
30860,"Logan, UT-ID",metro,UT,UT-ID
30900,"Logansport, IN",micro,IN,IN
30980,"Longview, TX",metro,TX,TX
31020,"Longview-Kelso, WA",metro,WA,WA
31060,"Los Alamos, NM",micro,NM,NM
31080,"Los Angeles-Long Beach-Anaheim, CA",metro,CA,CA
31140,"Louisville/Jefferson County, KY-IN",metro,KY,KY-IN
31180,"Lubbock, TX",metro,TX,TX
31220,"Ludington, MI",micro,MI,MI
31260,"Lufkin, TX",micro,TX,TX
31300,"Lumberton, NC",micro,NC,NC
31340,"Lynchburg, VA",metro,VA,VA
31380,"Macomb, IL",micro,IL,IL
31420,"Macon-Bibb County, GA",metro,GA,GA
31500,"Madison, IN",micro,IN,IN
31540,"Madison, WI",metro,WI,WI
31580,"Madisonville, KY",micro,KY,KY
31620,"Magnolia, AR",micro,AR,AR
31680,"Malvern, AR",micro,AR,AR
31700,"Manchester-Nashua, NH",metro,NH,NH
31740,"Manhattan, KS",metro,KS,KS
31820,"Manitowoc, WI",micro,WI,WI
31860,"Mankato, MN",metro,MN,MN
31900,"Mansfield, OH",metro,OH,OH
31930,"Marietta, OH",micro,OH,OH
31940,"Marinette, WI-MI",micro,WI,WI-MI
31980,"Marion, IN",micro,IN,IN
32000,"Marion, NC",micro,NC,NC
32020,"Marion, OH",micro,OH,OH
32060,"Marion-Herrin, IL",micro,IL,IL
32100,"Marquette, MI",micro,MI,MI
32140,"Marshall, MN",micro,MN,MN
32180,"Marshall, MO",micro,MO,MO
32260,"Marshalltown, IA",micro,IA,IA
32280,"Martin, TN",micro,TN,TN
32300,"Martinsville, VA",micro,VA,VA
32340,"Maryville, MO",micro,MO,MO
32380,"Mason City, IA",micro,IA,IA
32390,"Massena-Ogdensburg, NY",micro,NY,NY
32420,"Mayagüez, PR",metro,PR,PR
32460,"Mayfield, KY",micro,KY,KY
32540,"McAlester, OK",micro,OK,OK
32580,"McAllen-Edinburg-Mission, TX",metro,TX,TX
32620,"McComb, MS",micro,MS,MS
32660,"McMinnville, TN",micro,TN,TN
32700,"McPherson, KS",micro,KS,KS
32740,"Meadville, PA",micro,PA,PA
32780,"Medford, OR",metro,OR,OR
32820,"Memphis, TN-MS-AR",metro,TN,TN-MS-AR
32860,"Menomonie, WI",micro,WI,WI
32900,"Merced, CA",metro,CA,CA
32940,"Meridian, MS",micro,MS,MS
33020,"Mexico, MO",micro,MO,MO
33060,"Miami, OK",micro,OK,OK
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",metro,FL,FL
33140,"Michigan City-La Porte, IN",metro,IN,IN
33180,"Middlesborough, KY",micro,KY,KY
33220,"Midland, MI",metro,MI,MI
33260,"Midland, TX",metro,TX,TX
33300,"Milledgeville, GA",micro,GA,GA
33340,"Milwaukee-Waukesha, WI",metro,WI,WI
33380,"Minden, LA",micro,LA,LA
33420,"Mineral Wells, TX",micro,TX,TX
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,MN,MN-WI
33500,"Minot, ND",metro,ND,ND
33540,"Missoula, MT",metro,MT,MT
33580,"Mitchell, SD",micro,SD,SD
33620,"Moberly, MO",micro,MO,MO
33660,"Mobile, AL",metro,AL,AL
33700,"Modesto, CA",metro,CA,CA
33740,"Monroe, LA",metro,LA,LA
33780,"Monroe, MI",metro,MI,MI
33860,"Montgomery, AL",metro,AL,AL
33900,"Monticello, IN",micro,IN,IN
33910,"Monticello, NY",micro,NY,NY
33940,"Montrose, CO",micro,CO,CO
33980,"Morehead City, NC",micro,NC,NC
34020,"Morgan City, LA",micro,LA,LA
34060,"Morgantown, WV",metro,WV,WV
34100,"Morristown, TN",metro,TN,TN
34140,"Moscow, ID",micro,ID,ID
34180,"Moses Lake, WA",micro,WA,WA
34220,"Moultrie, GA",micro,GA,GA
34260,"Mountain Home, AR",micro,AR,AR
34300,"Mountain Home, ID",micro,ID,ID
34340,"Mount Airy, NC",micro,NC,NC
34380,"Mount Pleasant, MI",micro,MI,MI
34420,"Mount Pleasant, TX",micro,TX,TX
34460,"Mount Sterling, KY",micro,KY,KY
34500,"Mount Vernon, IL",micro,IL,IL
34540,"Mount Vernon, OH",micro,OH,OH
34580,"Mount Vernon-Anacortes, WA",metro,WA,WA
34620,"Muncie, IN",metro,IN,IN
34660,"Murray, KY",micro,KY,KY
34680,"Murrells Inlet, SC",micro,SC,SC
34700,"Muscatine, IA",micro,IA,IA
34740,"Muskegon-Norton Shores, MI",metro,MI,MI
