station,cbsa_code
US1COJF0331,19740
US1COJF0332,19740
US1COJF0333,19740
US1COJF0335,19740
US1COJF0343,19740
US1COJF0376,19740
US1COJF0395,19740
US1COJF0399,19740
US1COJF0430,19740
US1COJF0455,19740
US1COJF0457,19740
US1COLG0002,44540
US1COLG0035,44540
US1COLG0040,44540
US1COLG0049,44540
US1COLG0059,44540
US1COLK0001,14720
US1COLK0010,14720
US1COLP0008,20420
US1COLP0022,20420
US1COLP0026,20420
US1COLP0035,20420
US1COLP0042,20420
US1COLP0067,20420
US1COLP0070,20420
US1COLP0072,20420
US1COLP0074,20420
US1COLP0079,20420
US1COLP0098,20420
US1COLR0036,22660
US1COLR0075,22660
US1COLR0104,22660
US1COLR0112,22660
US1COLR0140,22660
US1COLR0142,22660
US1COLR0225,22660
US1COLR0247,22660
US1COLR0250,22660
US1COLR0252,22660
US1COLR0255,22660
US1COLR0259,22660
US1COLR0273,22660
US1COLR0284,22660
US1COLR0307,22660
US1COLR0311,22660
US1COLR0312,22660
US1COLR0316,22660
US1COLR0320,22660
US1COLR0329,22660
US1COLR0340,22660
US1COLR0372,22660
US1COLR0391,22660
US1COLR0393,22660
US1COLR0412,22660
US1COLR0495,22660
US1COLR0500,22660
US1COLR0501,22660
US1COLR0509,22660
US1COLR0528,22660
US1COLR0546,22660
US1COLR0555,22660
US1COLR0567,22660
US1COLR0610,22660
US1COLR0623,22660
US1COLR0630,22660
US1COLR0632,22660
US1COLR0636,22660
US1COLR0662,22660
US1COLR0672,22660
US1COLR0676,22660
US1COLR0758,22660
US1COLR0762,22660
US1COLR0767,22660
US1COLR0797,22660
US1COLR0815,22660
US1COLR0825,22660
US1COLR0832,22660
US1COLR0845,22660
US1COLR0849,22660
US1COLR0854,22660
US1COLR0863,22660
US1COLR0885,22660
US1COLR0918,22660
US1COLR0922,22660
US1COLR1020,22660
US1COLR1038,22660
US1COLR1049,22660
US1COLR1100,22660
US1COLR1109,22660
US1COME0003,24300
US1COME0007,24300
US1COME0024,24300
US1COME0053,24300
US1COME0064,24300
US1COME0079,24300
US1COME0125,24300
US1COME0137,24300
US1COME0140,24300
US1COMR0001,22820
US1COMR0081,22820
US1COMR0083,22820
US1COMR0084,22820
US1COMT0005,33940
US1COMT0006,33940
US1COMT0009,33940
US1COMT0013,33940
US1COMT0015,33940
US1COMT0025,33940
US1COMT0031,33940
US1COMT0036,33940
US1COMT0040,33940
US1COPK0005,19740
US1COPK0039,19740
US1COPK0046,19740
US1COPK0067,19740
US1COPK0069,19740
US1COPK0078,19740
US1COPU0014,39380
US1COPU0055,39380
US1COPU0065,39380
US1COPU0079,39380
US1COPU0080,39380
US1COPU0082,39380
US1COPU0094,39380
US1COPU0098,39380
US1COPU0101,39380
US1COPU0103,39380
US1COPU0109,39380
US1COPU0118,39380
US1COPU0121,39380
US1CORT0052,44460
US1CORT0053,44460
US1COSU0016,14720
US1COSU0035,14720
US1COTL0016,17820
US1COWE0003,24540
US1COWE0025,24540
US1COWE0043,24540
US1COWE0127,24540
US1COWE0129,24540
US1COWE0163,24540
US1COWE0171,24540
US1COWE0176,24540
US1COWE0187,24540
US1COWE0199,24540
US1COWE0203,24540
US1COWE0250,24540
US1COWE0296,24540
US1COWE0311,24540
US1COWE0318,24540
US1COWE0340,24540
US1COWE0345,24540
US1COWE0364,24540
US1COWE0374,24540
US1COWE0409,24540
US1COWE0424,24540
US1COWE0447,24540
US1COWE0511,24540
US1CTFR0003,14860
US1CTFR0009,14860
US1CTFR0020,14860
US1CTFR0023,47930
US1CTFR0025,14860
US1CTFR0029,14860
US1CTFR0031,14860
US1CTFR0041,14860
US1CTFR0043,14860
US1CTFR0050,14860
US1CTHR0006,25540
US1CTHR0008,25540
US1CTHR0011,25540
US1CTHR0015,25540
US1CTHR0022,25540
US1CTHR0028,25540
US1CTHR0065,25540
US1CTHR0068,25540
US1CTLT0015,45860
US1CTLT0020,45860
US1CTMD0021,25540
US1CTMD0023,25540
US1CTMD0025,25540
US1CTNH0014,47930
US1CTNH0022,47930
US1CTNH0043,35300
US1CTNH0044,35300
US1CTNH0047,47930
US1CTNL0006,35980
US1CTNL0010,35980
US1CTNL0021,35980
US1CTNL0022,35980
US1CTNL0024,35980
US1CTNL0038,25540
US1CTTL0015,25540
US1CTTL0019,25540
US1CTTL0027,25540
US1CTWN0004,39480
US1CTWN0008,39480
US1Colf1831,18100
US1DEKN0001,20100
US1DENC0002,37980
US1DENC0010,37980
US1DENC0033,37980
US1DESS0002,42580
US1DESS0003,42580
US1DESS0006,42580
US1DESS0025,42580
US1DESS0030,42580
US1DESS0035,42580
US1DESS0044,42580
US1DESS0064,42580
US1FLAL0004,23540
US1FLAL0007,23540
US1FLAL0010,23540
US1FLAL0026,23540
US1FLAL0031,23540
US1FLAL0051,23540
US1FLBK0005,27260
US1FLBK0006,27260
US1FLBK0007,27260
US1FLBV0001,37340
US1FLBV0002,37340
US1FLBV0005,37340
US1FLBV0012,37340
US1FLBV0013,37340
US1FLBV0020,37340
US1FLBV0023,37340
US1FLBV0028,37340
US1FLBV0047,37340
US1FLBV0054,37340
US1FLBV0059,37340
US1FLBV0063,37340
US1FLBW0007,33100
US1FLBW0013,33100
US1FLBW0076,33100
US1FLBW0127,33100
US1FLBY0010,37460
US1FLBY0015,37460
US1FLBY0016,37460
US1FLCB0012,29380
US1FLCH0013,39460
US1FLCH0017,39460
US1FLCT0011,26140
US1FLCY0001,27260
US1FLCY0002,27260
US1FLCY0003,27260
US1FLCY0005,27260
US1FLCY0007,27260
US1FLCY0019,27260
US1FLCY0025,27260
US1FLCY0037,27260
US1FLDV0003,27260
US1FLDV0013,27260
US1FLDV0021,27260
US1FLDV0033,27260
US1FLDV0042,27260
US1FLDV0063,27260
US1FLDV0066,27260
US1FLDV0079,27260
US1FLES0015,37860
US1FLES0024,37860
US1FLES0026,37860
US1FLFL0024,19660
US1FLFL0032,19660
US1FLFL0040,19660
